C:\Users\juneli\Anaconda\envs\pytorch\python.exe "D:/1.Deep learning/GNN for drug synergy/GAE_MLP.py"
Using backend: pytorch
cell_feature:  torch.Size([5693, 954])
node_feature:  torch.Size([197, 300])
D:/1.Deep learning/GNN for drug synergy/GAE_MLP.py:72: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  pos_weight = torch.tensor((adj.shape[0] * adj.shape[0] - adj.sum()) / adj.sum())
D:/1.Deep learning/GNN for drug synergy/GAE_MLP.py:75: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  adj = torch.tensor(adj)
tensor([0.9499, 0.9660, 0.9875,  ..., 0.9915, 0.9993, 1.0000],
       grad_fn=<SigmoidBackward>)
loss: 0.5053110718727112 accuracy: 0.97219717075936
lenth 5693
pot 1138
Epoch GAE :  0 | cross validation:  0 | Epoch:  111 |loss:  0.14548054337501526 | accuracy_train:  0.72 | accuracy_test:  0.7636203866432337
Epoch GAE :  0 | cross validation:  0 | Epoch:  112 |loss:  0.20101694762706757 | accuracy_train:  0.8933333333333333 | accuracy_test:  0.7644991212653779
Epoch GAE :  0 | cross validation:  0 | Epoch:  113 |loss:  0.1887226104736328 | accuracy_train:  0.76 | accuracy_test:  0.7636203866432337
Epoch GAE :  0 | cross validation:  0 | Epoch:  114 |loss:  0.1378781497478485 | accuracy_train:  0.7066666666666667 | accuracy_test:  0.7636203866432337
Epoch GAE :  0 | cross validation:  0 | Epoch:  115 |loss:  0.11120686680078506 | accuracy_train:  0.7866666666666666 | accuracy_test:  0.7636203866432337
Epoch GAE :  0 | cross validation:  0 | Epoch:  116 |loss:  0.1621825098991394 | accuracy_train:  0.7466666666666667 | accuracy_test:  0.7636203866432337
Epoch GAE :  0 | cross validation:  0 | Epoch:  117 |loss:  0.15660563111305237 | accuracy_train:  0.76 | accuracy_test:  0.7636203866432337
Epoch GAE :  0 | cross validation:  0 | Epoch:  118 |loss:  0.1634218394756317 | accuracy_train:  0.8 | accuracy_test:  0.7636203866432337
Epoch GAE :  0 | cross validation:  0 | Epoch:  119 |loss:  0.1776227056980133 | accuracy_train:  0.8 | accuracy_test:  0.7644991212653779
Epoch GAE :  0 | cross validation:  0 | Epoch:  120 |loss:  0.09904337674379349 | accuracy_train:  0.7333333333333333 | accuracy_test:  0.7636203866432337
Epoch GAE :  0 | cross validation:  0 | Epoch:  121 |loss:  0.23055671155452728 | accuracy_train:  0.68 | accuracy_test:  0.7653778558875219
Epoch GAE :  0 | cross validation:  0 | Epoch:  122 |loss:  0.11990692466497421 | accuracy_train:  0.7466666666666667 | accuracy_test:  0.7644991212653779
Epoch GAE :  0 | cross validation:  0 | Epoch:  123 |loss:  0.18326610326766968 | accuracy_train:  0.7466666666666667 | accuracy_test:  0.7636203866432337
Epoch GAE :  0 | cross validation:  0 | Epoch:  124 |loss:  0.1819959580898285 | accuracy_train:  0.7466666666666667 | accuracy_test:  0.7636203866432337
Epoch GAE :  0 | cross validation:  0 | Epoch:  125 |loss:  0.11218470335006714 | accuracy_train:  0.8666666666666667 | accuracy_test:  0.7636203866432337
Epoch GAE :  0 | cross validation:  0 | Epoch:  126 |loss:  0.16361986100673676 | accuracy_train:  0.7733333333333333 | accuracy_test:  0.7636203866432337
Epoch GAE :  0 | cross validation:  0 | Epoch:  127 |loss:  0.1426379382610321 | accuracy_train:  0.7866666666666666 | accuracy_test:  0.7636203866432337
Epoch GAE :  0 | cross validation:  0 | Epoch:  128 |loss:  0.11568054556846619 | accuracy_train:  0.8266666666666667 | accuracy_test:  0.7644991212653779
Epoch GAE :  0 | cross validation:  0 | Epoch:  129 |loss:  0.08704351633787155 | accuracy_train:  0.7466666666666667 | accuracy_test:  0.7653778558875219
Epoch GAE :  0 | cross validation:  0 | Epoch:  130 |loss:  0.11359754949808121 | accuracy_train:  0.8133333333333334 | accuracy_test:  0.7636203866432337
Epoch GAE :  0 | cross validation:  0 | Epoch:  131 |loss:  0.12274555116891861 | accuracy_train:  0.8666666666666667 | accuracy_test:  0.7636203866432337
Epoch GAE :  0 | cross validation:  0 | Epoch:  132 |loss:  0.1376677006483078 | accuracy_train:  0.7333333333333333 | accuracy_test:  0.7636203866432337
